Depth,DENB,GRDE,CADE                    
71.400,2.440,147.000,104.450,
71.500,2.420,125.790,104.690,
71.600,2.410,148.970,104.440,
71.700,2.410,150.290,104.030,
71.800,2.430,125.950,103.660,
71.900,2.440,115.760,103.480,
72.000,2.460,93.230,103.460,
72.100,2.470,105.070,103.670,
72.200,2.470,118.060,104.120,
72.300,2.480,127.930,104.530,
72.400,2.470,112.140,104.750,
72.500,2.470,107.700,104.660,
72.600,2.480,110.000,104.300,
72.700,2.480,126.120,103.900,
72.800,2.490,118.560,103.580,
72.900,2.490,104.090,103.550,
73.000,2.480,134.010,103.560,
73.100,2.470,151.110,103.540,
73.200,2.480,124.310,103.520,
73.300,2.510,108.200,103.510,
73.400,2.520,111.980,103.540,
73.500,2.500,113.790,103.530,
73.600,2.490,111.320,103.520,
73.700,2.470,120.530,103.510,
73.800,2.460,133.190,103.510,
73.900,2.450,114.610,103.510,
74.000,2.430,109.680,103.510,
74.100,2.430,164.100,103.530,
74.200,2.420,125.300,103.530,
74.300,2.430,125.300,103.540,
74.400,2.450,96.520,103.530,
74.500,2.460,136.640,103.530,
74.600,2.470,115.270,103.530,
74.700,2.470,88.140,103.550,
74.800,2.470,105.730,103.540,
74.900,2.460,132.530,103.540,
75.000,2.460,166.570,103.600,
75.100,2.460,131.050,103.740,
75.200,2.470,172.320,104.040,
75.300,2.470,126.120,103.970,
75.400,2.480,108.690,103.820,
75.500,2.480,161.470,103.510,
75.600,2.490,123.650,103.530,
75.700,2.490,112.800,103.700,
75.800,2.480,133.680,104.120,
75.900,2.470,112.310,104.520,
76.000,2.460,141.580,104.710,
76.100,2.450,135.160,104.480,
76.200,2.440,118.230,104.100,
76.300,2.450,123.650,103.810,
76.400,2.460,95.530,103.750,
76.500,2.470,108.520,104.020,
76.600,2.470,150.450,104.350,
76.700,2.480,115.760,104.640,
76.800,2.480,116.910,104.740,
76.900,2.490,125.460,104.770,
77.000,2.490,143.550,104.740,
77.100,2.490,137.460,104.540,
77.200,2.490,154.730,104.180,
77.300,2.480,123.320,103.860,
77.400,2.480,88.790,103.700,
77.500,2.490,118.560,103.710,
77.600,2.500,137.790,103.710,
77.700,2.490,126.610,103.660,
77.800,2.490,144.370,103.580,
77.900,2.490,130.230,103.540,
78.000,2.490,100.960,103.510,
78.100,2.490,115.100,103.540,
78.200,2.480,93.890,103.530,
78.300,2.470,130.890,103.560,
78.400,2.440,119.210,103.540,
78.500,2.420,138.780,103.500,
78.600,2.430,103.760,103.500,
78.700,2.460,148.320,103.530,
78.800,2.490,116.250,103.530,
78.900,2.500,123.650,103.540,
79.000,2.500,157.690,103.530,
79.100,2.480,127.110,103.530,
79.200,2.480,107.370,103.520,
79.300,2.470,75.310,103.510,
79.400,2.470,91.920,103.520,
79.500,2.480,112.310,103.510,
79.600,2.490,107.870,103.550,
79.700,2.490,137.460,103.550,
79.800,2.490,138.940,103.540,
79.900,2.480,117.900,103.510,
80.000,2.490,114.120,103.510,
80.100,2.520,130.890,103.550,
80.200,2.520,111.480,103.550,
80.300,2.520,142.400,103.540,
80.400,2.500,83.700,103.490,
80.500,2.500,133.520,103.510,
80.600,2.490,105.570,103.510,
80.700,2.460,96.360,103.530,
80.800,2.440,102.930,103.530,
80.900,2.420,107.040,103.520,
81.000,2.440,112.140,103.510,
81.100,2.460,104.740,103.510,
81.200,2.490,122.670,103.530,
81.300,2.490,135.820,103.560,
