Depth,DENB,GRDE,CADE                    
68.9,2.46,86.82,103.64
69,2.46,119.38,103.68
69.1,2.46,122.5,103.72
69.2,2.47,94.22,103.94
69.3,2.47,114.28,104.28
69.4,2.47,132.7,104.59
69.5,2.44,120.2,104.69
69.6,2.43,117.08,104.44
69.7,2.42,103.43,104.03
69.8,2.44,131.38,103.67
69.9,2.45,91.42,103.53
70,2.46,123.98,103.51
70.1,2.45,104.25,103.35
70.2,2.43,80.08,102.96
70.3,2.41,84.19,102.57
70.4,2.42,111.81,102.3
70.5,2.45,142.56,102.31
70.6,2.47,139.44,102.27
70.7,2.46,117.4,102.3
70.8,2.45,127.93,102.52
70.9,2.49,124.31,103.2
71,2.52,121.02,103.97
71.1,2.52,85.01,104.4
71.2,2.49,131.87,104.28
71.3,2.46,104.58,104.29
71.4,2.44,147,104.45
71.5,2.42,125.79,104.69
71.6,2.41,148.97,104.44
71.7,2.41,150.29,104.03
71.8,2.43,125.95,103.66
71.9,2.44,115.76,103.48
72,2.46,93.23,103.46
72.1,2.47,105.07,103.67
72.2,2.47,118.06,104.12
72.3,2.48,127.93,104.53
72.4,2.47,112.14,104.75
72.5,2.47,107.7,104.66
72.6,2.48,110,104.3
72.7,2.48,126.12,103.9
72.8,2.49,118.56,103.58
72.9,2.49,104.09,103.55
73,2.48,134.01,103.56
73.1,2.47,151.11,103.54
73.2,2.48,124.31,103.52
73.3,2.51,108.2,103.51
73.4,2.52,111.98,103.54
73.5,2.5,113.79,103.53
73.6,2.49,111.32,103.52
73.7,2.47,120.53,103.51
73.8,2.46,133.19,103.51
73.9,2.45,114.61,103.51
74,2.43,109.68,103.51
74.1,2.43,164.1,103.53
74.2,2.42,125.3,103.53
74.3,2.43,125.3,103.54
74.4,2.45,96.52,103.53
74.5,2.46,136.64,103.53
74.6,2.47,115.27,103.53
74.7,2.47,88.14,103.55
74.8,2.47,105.73,103.54
74.9,2.46,132.53,103.54
75,2.46,166.57,103.6
75.1,2.46,131.05,103.74
75.2,2.47,172.32,104.04
75.3,2.47,126.12,103.97
75.4,2.48,108.69,103.82
75.5,2.48,161.47,103.51
75.6,2.49,123.65,103.53
75.7,2.49,112.8,103.7
75.8,2.48,133.68,104.12
75.9,2.47,112.31,104.52
76,2.46,141.58,104.71
76.1,2.45,135.16,104.48
76.2,2.44,118.23,104.1
76.3,2.45,123.65,103.81
76.4,2.46,95.53,103.75
76.5,2.47,108.52,104.02
76.6,2.47,150.45,104.35
76.7,2.48,115.76,104.64
76.8,2.48,116.91,104.74
76.9,2.49,125.46,104.77
77,2.49,143.55,104.74
77.1,2.49,137.46,104.54
77.2,2.49,154.73,104.18
77.3,2.48,123.32,103.86
77.4,2.48,88.79,103.7
77.5,2.49,118.56,103.71
77.6,2.5,137.79,103.71
77.7,2.49,126.61,103.66
77.8,2.49,144.37,103.58
77.9,2.49,130.23,103.54
78,2.49,100.96,103.51
78.1,2.49,115.1,103.54
78.2,2.48,93.89,103.53
78.3,2.47,130.89,103.56
78.4,2.44,119.21,103.54
78.5,2.42,138.78,103.5
78.6,2.43,103.76,103.5
78.7,2.46,148.32,103.53
78.8,2.49,116.25,103.53
78.9,2.5,123.65,103.54
79,2.5,157.69,103.53
79.1,2.48,127.11,103.53
79.2,2.48,107.37,103.52
79.3,2.47,75.31,103.51
79.4,2.47,91.92,103.52
79.5,2.48,112.31,103.51
79.6,2.49,107.87,103.55
79.7,2.49,137.46,103.55
79.8,2.49,138.94,103.54
79.9,2.48,117.9,103.51
80,2.49,114.12,103.51
80.1,2.52,130.89,103.55
80.2,2.52,111.48,103.55
80.3,2.52,142.4,103.54
80.4,2.5,83.7,103.49
80.5,2.5,133.52,103.51
80.6,2.49,105.57,103.51
80.7,2.46,96.36,103.53
80.8,2.44,102.93,103.53
80.9,2.42,107.04,103.52
81,2.44,112.14,103.51
81.1,2.46,104.74,103.51
81.2,2.49,122.67,103.53
81.3,2.49,135.82,103.56
81.4,2.49,111.16,103.55
81.5,2.47,128.59,103.54
81.6,2.46,109.35,103.5
81.7,2.45,112.31,103.53
81.8,2.46,116.91,103.53
81.9,2.48,110.17,103.54
82,2.48,119.05,103.53
82.1,2.48,119.71,103.52
82.2,2.47,137.46,103.51
82.3,2.48,137.79,103.52
82.4,2.5,110.83,103.5
82.5,2.5,91.42,103.53
82.6,2.5,100.3,103.53
82.7,2.49,134.83,103.54
82.8,2.47,106.06,103.53
82.9,2.45,125.13,103.52
83,2.44,141.58,103.51
83.1,2.46,134.18,103.51
83.2,2.49,141.74,103.51
83.3,2.5,138.62,103.51
83.4,2.5,91.75,103.5
83.5,2.5,134.67,103.47
83.6,2.48,131.87,103.48
83.7,2.46,125.13,103.5
83.8,2.45,166.57,103.49
83.9,2.44,126.61,103.5
84,2.48,157.69,103.5
84.1,2.52,123.16,103.53
84.2,2.53,109.68,103.54
84.3,2.51,125.46,103.51
84.4,2.48,129.41,103.52
84.5,2.46,141.25,103.51
84.6,2.46,116.42,103.58
84.7,2.49,135.16,103.88
84.8,2.51,124.8,104.29
84.9,2.51,142.07,104.56
85,2.49,110.83,104.28
85.1,2.47,137.14,103.94
85.2,2.46,173.8,103.7
85.3,2.46,155.22,103.66
85.4,2.48,119.71,103.57
85.5,2.49,115.43,103.5
85.6,2.5,112.96,103.49
85.7,2.51,119.71,103.51
85.8,2.5,145.36,103.51
85.9,2.5,117.9,103.51
86,2.48,135.16,103.52
86.1,2.46,99.65,103.51
86.2,2.46,115.1,103.52
86.3,2.46,114.77,103.51
86.4,2.47,93.73,103.51
86.5,2.48,110.5,103.53
86.6,2.49,122.83,103.54
86.7,2.49,119.71,103.51
86.8,2.48,97.51,103.5
86.9,2.48,104.91,103.51
87,2.48,129.41,103.72
87.1,2.48,125.95,104.21
87.2,2.48,120.36,104.62
87.3,2.47,152.59,104.84
87.4,2.47,139.93,104.74
87.5,2.48,159.66,104.75
87.6,2.5,125.63,104.76
